ID,Name,Description,Rate
1,updated title,Lorem ipsum,a
3,Python,Even don't know,5
zp9tb9es3np,javaScript,It's a trap!,10
wt241uwjyvt,Python,Even don't know,5
ofgvvs2dmqt,Python,Even don't know,5
5orwp81ey5z,Python,Even don't know,5
ve59g3ixi7x,F#,Even don't know,5
sltu837w4t8,F#,Even don't know,5
pzp8rsg9e8f,F#,Even don't know,5
1e7c0mgz0dd,F#,Even don't know,5
fszhomqczt5,F#,Even don't know,5
ni6tipxjbkn,F#,Even don't know,5
92mtzslfvxd,F#,Even don't know,5
ris4evh0ckr,F#,Even don't know,5
kgf4z5ia4k2,F#,Even don't know,5
7i6ow6ue40z,F#,Even don't know,5
qp3cfrwci43,F#,Even don't know,5
kzx1823vj5e,F#,Even don't know,5
